Handle,UUID,UUID Description,Value,Properties
0x0001,0x2800,Primary Service Declaration,01:18,0x00
0x0002,0x2803,Characteristic Declaration,20:03:00:05:2A,0x00
0x0003,0x2A05,Service Changed,,0x20
0x0004,0x2902,Client Characteristic Configuration,,0x00
0x0005,0x2800,Primary Service Declaration,00:18,0x00
0x0006,0x2803,Characteristic Declaration,0A:07:00:00:2A,0x00
0x0007,0x2A00,Device Name,,0x0A
0x0008,0x2803,Characteristic Declaration,02:09:00:01:2A,0x00
0x0009,0x2A01,Appearance,,0x02
0x000A,0x2803,Characteristic Declaration,02:0B:00:04:2A,0x00
0x000B,0x2A04,Peripheral Preferred Connection Parameters,,0x02
0x000C,0x2800,Primary Service Declaration,0A:18,0x00
0x000D,0x2803,Characteristic Declaration,02:0E:00:29:2A,0x00
0x000E,0x2A29,Manufacturer Name String,,0x02
0x000F,0x2803,Characteristic Declaration,02:10:00:24:2A,0x00
0x0010,0x2A24,Model Number String,,0x02
0x0011,0x2803,Characteristic Declaration,02:12:00:25:2A,0x00
0x0012,0x2A25,Serial Number String,,0x02
0x0013,0x2803,Characteristic Declaration,02:14:00:26:2A,0x00
0x0014,0x2A26,Firmware Revision String,,0x02
0x0015,0x2803,Characteristic Declaration,02:16:00:27:2A,0x00
0x0016,0x2A27,Hardware Revision String,,0x02
0x0017,0x2803,Characteristic Declaration,02:18:00:28:2A,0x00
0x0018,0x2A28,Software Revision String,,0x02
0x0019,0x2803,Characteristic Declaration,02:1A:00:23:2A,0x00
0x001A,0x2A23,System ID,,0x02
0x001B,0x2803,Characteristic Declaration,02:1C:00:2A:2A,0x00
0x001C,0x2A2A,IEEE 11073-20601 Regulatory Certification Data List,,0x02
0x001D,0x2803,Characteristic Declaration,02:1E:00:50:2A,0x00
0x001E,0x2A50,PnP ID,,0x02
0x001F,0x2800,Primary Service Declaration,0F:18,0x00
0x0020,0x2803,Characteristic Declaration,12:21:00:19:2A,0x00
0x0021,0x2A19,Battery Level,,0x12
0x0022,0x2902,Client Characteristic Configuration,,0x00
0x0023,0x2800,Primary Service Declaration,3B:D0:FE:54:02:58:D8:B9:33:4C:88:63:61:CD:DB:15,0x00
0x0024,0x2803,Characteristic Declaration,20:25:00:1A:57:CC:18:5C:8B:C6:97:E1:45:73:E5:AC:ED:74:C7,0x00
0x0025,C774EDACE57345E197C68B5C18CC571A,,,0x20
0x0026,0x2902,Client Characteristic Configuration,,0x00
0x0027,0x2803,Characteristic Declaration,02:28:00:A7:7C:38:DC:4D:88:3A:A1:9C:43:08:13:21:52:3E:DE,0x00
0x0028,DE3E52211308439CA13A884DDC387CA7,,,0x02
0x0029,0x2803,Characteristic Declaration,08:2A:00:E2:DA:BA:17:0C:C7:55:BB:C0:40:D3:97:9E:03:84:84,0x00
0x002A,8484039E97D340C0BB55C70C17BADAE2,,,0x08
0x002B,0x2800,Primary Service Declaration,82:FE,0x00
0x002C,0x2803,Characteristic Declaration,18:2D:00:25:13:59:32:91:00:00:00:00:10:00:00:82:FE:00:00,0x00
0x002D,0000FE82000010000000009132591325,,,0x18
0x002E,0x2901,Characteristic User Description,,0x00
0x002F,0x2902,Client Characteristic Configuration,,0x00
0x0030,0x2800,Primary Service Declaration,25:13:59:32:91:00:00:00:00:10:00:00:00:03:00:00,0x00
0x0031,0x2803,Characteristic Declaration,28:32:00:52:2A,0x00
0x0032,0x2A52,Record Access Control Point,,0x28
0x0033,0x2902,Client Characteristic Configuration,,0x00
0x0034,0x2803,Characteristic Declaration,28:35:00:25:13:59:32:91:00:00:00:00:10:00:00:60:03:00:00,0x00
0x0035,00000360000010000000009132591325,,,0x28
0x0036,0x2902,Client Characteristic Configuration,,0x00
0x0037,0x2803,Characteristic Declaration,10:38:00:25:13:59:32:91:00:00:00:00:10:00:00:50:03:00:00,0x00
0x0038,00000350000010000000009132591325,,,0x10
0x0039,0x2902,Client Characteristic Configuration,,0x00
0x003A,0x2800,Primary Service Declaration,1F:18,0x00
0x003B,0x2803,Characteristic Declaration,30:3C:00:A7:2A,0x00
0x003C,0x2AA7,CGM Measurement,,0x30
0x003D,0x2901,Characteristic User Description,,0x00
0x003E,0x2902,Client Characteristic Configuration,,0x00
0x003F,0x2803,Characteristic Declaration,02:40:00:25:13:59:32:91:00:00:00:00:10:00:00:00:02:00:00,0x00
0x0040,00000200000010000000009132591325,,,0x02
0x0041,0x2901,Characteristic User Description,,0x00
0x0042,0x2803,Characteristic Declaration,02:43:00:A8:2A,0x00
0x0043,0x2AA8,CGM Feature,,0x02
0x0044,0x2803,Characteristic Declaration,02:45:00:A9:2A,0x00
0x0045,0x2AA9,CGM Status,,0x02
0x0046,0x2803,Characteristic Declaration,0A:47:00:AA:2A,0x00
0x0047,0x2AAA,CGM Session Start Time,,0x0A
0x0048,0x2803,Characteristic Declaration,22:49:00:AB:2A,0x00
0x0049,0x2AAB,CGM Session Run Time,,0x22
0x004A,0x2902,Client Characteristic Configuration,,0x00
0x004B,0x2803,Characteristic Declaration,20:4C:00:25:13:59:32:91:00:00:00:00:10:00:00:03:02:00:00,0x00
0x004C,00000203000010000000009132591325,,,0x20
0x004D,0x2902,Client Characteristic Configuration,,0x00
0x004E,0x2803,Characteristic Declaration,28:4F:00:52:2A,0x00
0x004F,0x2A52,Record Access Control Point,,0x28
0x0050,0x2902,Client Characteristic Configuration,,0x00
0x0051,0x2803,Characteristic Declaration,28:52:00:AC:2A,0x00
0x0052,0x2AAC,CGM Specific Ops Control Point,,0x28
0x0053,0x2902,Client Characteristic Configuration,,0x00
0x0054,0x2803,Characteristic Declaration,22:55:00:25:13:59:32:91:00:00:00:00:10:00:00:01:02:00:00,0x00
0x0055,00000201000010000000009132591325,,,0x22
0x0056,0x2902,Client Characteristic Configuration,,0x00
0x0057,0x2803,Characteristic Declaration,20:58:00:25:13:59:32:91:00:00:00:00:10:00:00:02:02:00:00,0x00
0x0058,00000202000010000000009132591325,,,0x20
0x0059,0x2902,Client Characteristic Configuration,,0x00
